Component Name,Licenses,Licenses Links,Package Type,Component Id,Package Id,Version
3.20:alpine-baselayout,GPL-2.0-only,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,alpine,3.20:alpine-baselayout:3.6.5-r0,alpine://3.20:alpine-baselayout,3.6.5-r0
3.20:alpine-baselayout-data,GPL-2.0-only,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,alpine,3.20:alpine-baselayout-data:3.6.5-r0,alpine://3.20:alpine-baselayout-data,3.6.5-r0
3.20:alpine-keys,Unknown,,alpine,3.20:alpine-keys:2.4-r1,alpine://3.20:alpine-keys,2.4-r1
3.20:alsa-lib,Unknown,,alpine,3.20:alsa-lib:1.2.11-r0,alpine://3.20:alsa-lib,1.2.11-r0
3.20:apk-tools,GPL-2.0-only,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,alpine,3.20:apk-tools:2.14.4-r1,alpine://3.20:apk-tools,2.14.4-r1
3.20:busybox,GPL-2.0-only,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,alpine,3.20:busybox:1.36.1-r29,alpine://3.20:busybox,1.36.1-r29
3.20:busybox-binsh,GPL-2.0-only,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,alpine,3.20:busybox-binsh:1.36.1-r29,alpine://3.20:busybox-binsh,1.36.1-r29
3.20:ca-certificates-bundle,"MIT,MPL-2.0","http://www.opensource.org/licenses/MIT,http://opensource.org/licenses/MPL-2.0",alpine,3.20:ca-certificates-bundle:20241121-r1,alpine://3.20:ca-certificates-bundle,20241121-r1
3.20:java-common,Unknown,,alpine,3.20:java-common:0.5-r0,alpine://3.20:java-common,0.5-r0
3.20:libbsd,Unknown,,alpine,3.20:libbsd:0.12.2-r0,alpine://3.20:libbsd,0.12.2-r0
3.20:libcrypto3,Apache-2.0,http://licenses.nuget.org/Apache-2.0,alpine,3.20:libcrypto3:3.3.2-r1,alpine://3.20:libcrypto3,3.3.2-r1
3.20:libmd,Unknown,,alpine,3.20:libmd:1.1.0-r0,alpine://3.20:libmd,1.1.0-r0
3.20:libssl3,Apache-2.0,http://licenses.nuget.org/Apache-2.0,alpine,3.20:libssl3:3.3.2-r1,alpine://3.20:libssl3,3.3.2-r1
3.20:libx11,Unknown,,alpine,3.20:libx11:1.8.9-r1,alpine://3.20:libx11,1.8.9-r1
3.20:libxau,Unknown,,alpine,3.20:libxau:1.0.11-r4,alpine://3.20:libxau,1.0.11-r4
3.20:libxcb,Unknown,,alpine,3.20:libxcb:1.16.1-r0,alpine://3.20:libxcb,1.16.1-r0
3.20:libxdmcp,Unknown,,alpine,3.20:libxdmcp:1.1.5-r1,alpine://3.20:libxdmcp,1.1.5-r1
3.20:libxext,Unknown,,alpine,3.20:libxext:1.3.6-r2,alpine://3.20:libxext,1.3.6-r2
3.20:libxi,Unknown,,alpine,3.20:libxi:1.8.1-r4,alpine://3.20:libxi,1.8.1-r4
3.20:libxrender,Unknown,,alpine,3.20:libxrender:0.9.11-r5,alpine://3.20:libxrender,0.9.11-r5
3.20:libxtst,Unknown,,alpine,3.20:libxtst:1.2.4-r6,alpine://3.20:libxtst,1.2.4-r6
3.20:musl,Unknown,,alpine,3.20:musl:1.2.5-r0,alpine://3.20:musl,1.2.5-r0
3.20:musl-utils,Unknown,,alpine,3.20:musl-utils:1.2.5-r0,alpine://3.20:musl-utils,1.2.5-r0
3.20:scanelf,Unknown,,alpine,3.20:scanelf:1.3.7-r2,alpine://3.20:scanelf,1.3.7-r2
3.20:ssl_client,GPL-2.0-only,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,alpine,3.20:ssl_client:1.36.1-r29,alpine://3.20:ssl_client,1.36.1-r29
3.20:tzdata,Public Domain,http://creativecommons.org/licenses/publicdomain/,alpine,3.20:tzdata:2024b-r0,alpine://3.20:tzdata,2024b-r0
3.20:zlib,Unknown,,alpine,3.20:zlib:1.3.1-r1,alpine://3.20:zlib,1.3.1-r1
3.20:zulu17-ca-jdk,Unknown,,alpine,3.20:zulu17-ca-jdk:17.0.14-r1,alpine://3.20:zulu17-ca-jdk,17.0.14-r1
3.20:zulu17-ca-jdk-headless,Unknown,,alpine,3.20:zulu17-ca-jdk-headless:17.0.14-r1,alpine://3.20:zulu17-ca-jdk-headless,17.0.14-r1
3.20:zulu17-ca-jre,Unknown,,alpine,3.20:zulu17-ca-jre:17.0.14-r1,alpine://3.20:zulu17-ca-jre,17.0.14-r1
3.20:zulu17-ca-jre-headless,Unknown,,alpine,3.20:zulu17-ca-jre-headless:17.0.14-r1,alpine://3.20:zulu17-ca-jre-headless,17.0.14-r1
3.20:zulu17-jdk,Unknown,,alpine,3.20:zulu17-jdk:17.0.14-r1,alpine://3.20:zulu17-jdk,17.0.14-r1
3.20:zulu17-jdk-headless,Unknown,,alpine,3.20:zulu17-jdk-headless:17.0.14-r1,alpine://3.20:zulu17-jdk-headless,17.0.14-r1
3.20:zulu17-jre,Unknown,,alpine,3.20:zulu17-jre:17.0.14-r1,alpine://3.20:zulu17-jre,17.0.14-r1
3.20:zulu17-jre-headless,Unknown,,alpine,3.20:zulu17-jre-headless:17.0.14-r1,alpine://3.20:zulu17-jre-headless,17.0.14-r1
ch.qos.logback:logback-classic,"EPL-1.0,LGPL-2.1","http://www.eclipse.org/legal/epl-v10.html,http://www.gnu.org/licenses/old-licenses/lgpl-2.1-standalone.html",maven,ch.qos.logback:logback-classic:1.5.12,gav://ch.qos.logback:logback-classic,1.5.12
ch.qos.logback:logback-core,"EPL-1.0,LGPL-2.1","http://www.eclipse.org/legal/epl-v10.html,http://www.gnu.org/licenses/old-licenses/lgpl-2.1-standalone.html",maven,ch.qos.logback:logback-core:1.5.12,gav://ch.qos.logback:logback-core,1.5.12
com.fasterxml.jackson.core:jackson-annotations,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.fasterxml.jackson.core:jackson-annotations:2.18.2,gav://com.fasterxml.jackson.core:jackson-annotations,2.18.2
com.fasterxml.jackson.core:jackson-core,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.fasterxml.jackson.core:jackson-core:2.18.2,gav://com.fasterxml.jackson.core:jackson-core,2.18.2
com.fasterxml.jackson.core:jackson-databind,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.fasterxml.jackson.core:jackson-databind:2.18.2,gav://com.fasterxml.jackson.core:jackson-databind,2.18.2
com.fasterxml.jackson.dataformat:jackson-dataformat-toml,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.fasterxml.jackson.dataformat:jackson-dataformat-toml:2.18.2,gav://com.fasterxml.jackson.dataformat:jackson-dataformat-toml,2.18.2
com.fasterxml.jackson.datatype:jackson-datatype-jdk8,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.fasterxml.jackson.datatype:jackson-datatype-jdk8:2.18.2,gav://com.fasterxml.jackson.datatype:jackson-datatype-jdk8,2.18.2
com.fasterxml.jackson.datatype:jackson-datatype-jsr310,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.fasterxml.jackson.datatype:jackson-datatype-jsr310:2.18.2,gav://com.fasterxml.jackson.datatype:jackson-datatype-jsr310,2.18.2
com.fasterxml.jackson.module:jackson-module-parameter-names,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.fasterxml.jackson.module:jackson-module-parameter-names:2.18.2,gav://com.fasterxml.jackson.module:jackson-module-parameter-names,2.18.2
com.fasterxml:classmate,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.fasterxml:classmate:1.7.0,gav://com.fasterxml:classmate,1.7.0
com.github.ben-manes.caffeine:caffeine,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.github.ben-manes.caffeine:caffeine:3.1.8,gav://com.github.ben-manes.caffeine:caffeine,3.1.8
com.github.stephenc.jcip:jcip-annotations,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.github.stephenc.jcip:jcip-annotations:1.0-1,gav://com.github.stephenc.jcip:jcip-annotations,1.0-1
com.github.waffle:waffle-jna,"JSON,MIT","http://www.json.org/license.html,http://www.opensource.org/licenses/MIT",maven,com.github.waffle:waffle-jna:3.3.0,gav://com.github.waffle:waffle-jna,3.3.0
com.google.code.findbugs:jsr305,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.google.code.findbugs:jsr305:3.0.2,gav://com.google.code.findbugs:jsr305,3.0.2
com.google.code.gson:gson,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.google.code.gson:gson:2.11.0,gav://com.google.code.gson:gson,2.11.0
com.google.errorprone:error_prone_annotations,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.google.errorprone:error_prone_annotations:2.28.0,gav://com.google.errorprone:error_prone_annotations,2.28.0
com.google.guava:failureaccess,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.google.guava:failureaccess:1.0.2,gav://com.google.guava:failureaccess,1.0.2
com.google.guava:guava,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.google.guava:guava:33.3.1-jre,gav://com.google.guava:guava,33.3.1-jre
com.google.guava:listenablefuture,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.google.guava:listenablefuture:9999.0-empty-to-avoid-conflict-with-guava,gav://com.google.guava:listenablefuture,9999.0-empty-to-avoid-conflict-with-guava
com.google.j2objc:j2objc-annotations,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.google.j2objc:j2objc-annotations:3.0.0,gav://com.google.j2objc:j2objc-annotations,3.0.0
com.googlecode.javaewah:JavaEWAH,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.googlecode.javaewah:JavaEWAH:1.2.3,gav://com.googlecode.javaewah:JavaEWAH,1.2.3
com.h2database:h2,"EPL-1.0,MPL-2.0","http://www.eclipse.org/legal/epl-v10.html,http://opensource.org/licenses/MPL-2.0",maven,com.h2database:h2:2.3.232,gav://com.h2database:h2,2.3.232
com.nimbusds:nimbus-jose-jwt,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.nimbusds:nimbus-jose-jwt:9.43,gav://com.nimbusds:nimbus-jose-jwt,9.43
com.sun.istack:istack-commons-runtime,EPL-1.0,http://www.eclipse.org/legal/epl-v10.html,maven,com.sun.istack:istack-commons-runtime:4.1.2,gav://com.sun.istack:istack-commons-runtime,4.1.2
com.sun.xml.messaging.saaj:saaj-impl,BSD-3-Clause,http://opensource.org/licenses/BSD-3-Clause,maven,com.sun.xml.messaging.saaj:saaj-impl:3.0.4,gav://com.sun.xml.messaging.saaj:saaj-impl,3.0.4
com.zaxxer:HikariCP,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.zaxxer:HikariCP:5.1.0,gav://com.zaxxer:HikariCP,5.1.0
commons-beanutils:commons-beanutils,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,commons-beanutils:commons-beanutils:1.9.4,gav://commons-beanutils:commons-beanutils,1.9.4
commons-codec:commons-codec,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,commons-codec:commons-codec:1.17.1,gav://commons-codec:commons-codec,1.17.1
commons-collections:commons-collections,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,commons-collections:commons-collections:3.2.2,gav://commons-collections:commons-collections,3.2.2
commons-io:commons-io,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,commons-io:commons-io:2.17.0,gav://commons-io:commons-io,2.17.0
commons-logging:commons-logging,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,commons-logging:commons-logging:1.2,gav://commons-logging:commons-logging,1.2
io.dropwizard.metrics:metrics-core,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,io.dropwizard.metrics:metrics-core:4.2.26,gav://io.dropwizard.metrics:metrics-core,4.2.26
io.dropwizard.metrics:metrics-json,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,io.dropwizard.metrics:metrics-json:4.2.26,gav://io.dropwizard.metrics:metrics-json,4.2.26
io.micrometer:micrometer-commons,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,io.micrometer:micrometer-commons:1.14.2,gav://io.micrometer:micrometer-commons,1.14.2
io.micrometer:micrometer-core,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,io.micrometer:micrometer-core:1.14.2,gav://io.micrometer:micrometer-core,1.14.2
io.micrometer:micrometer-jakarta9,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,io.micrometer:micrometer-jakarta9:1.14.2,gav://io.micrometer:micrometer-jakarta9,1.14.2
